fold,epoch,train_loss,val_loss,overall_macro_precision,overall_macro_recall,overall_macro_f1,es_macro_precision,es_macro_recall,es_macro_f1,en_macro_precision,en_macro_recall,en_macro_f1,it_macro_precision,it_macro_recall,it_macro_f1
1,0,0.1334358842282282,0.11690880704878105,0.42822299651567947,0.5,0.46133633633633636,0.42782426778242677,0.5,0.46110484780157834,0.42887029288702927,0.5,0.4617117117117117,0.4279749478079332,0.5,0.4611923509561305
1,1,0.13029089967643576,0.12037316813237137,0.42822299651567947,0.5,0.46133633633633636,0.42782426778242677,0.5,0.46110484780157834,0.42887029288702927,0.5,0.4617117117117117,0.4279749478079332,0.5,0.4611923509561305
1,2,0.12940983035610767,0.11546206050035027,0.42822299651567947,0.5,0.46133633633633636,0.42782426778242677,0.5,0.46110484780157834,0.42887029288702927,0.5,0.4617117117117117,0.4279749478079332,0.5,0.4611923509561305
1,3,0.11978966281509008,0.10521789907167355,0.6784717376133984,0.5020203496409584,0.466114980061261,0.42782426778242677,0.5,0.46110484780157834,0.42887029288702927,0.5,0.4617117117117117,0.6787211740041929,0.5060268646164723,0.47518935484383185
1,4,0.11448114660582824,0.10425996494789919,0.6787211740041929,0.5040406992819169,0.47080200501253133,0.42782426778242677,0.5,0.46110484780157834,0.42887029288702927,0.5,0.4617117117117117,0.6794736842105263,0.5120537292329445,0.488414209426515
1,5,0.11240059840609806,0.09902462367899716,0.7896039603960396,0.5339667580399251,0.5288110393842266,0.8616924476797088,0.5422557669820347,0.5425837320574163,0.8499293785310735,0.535545193687231,0.5312863884292456,0.6809978768577495,0.524107458465889,0.5127880065451007
1,6,0.11152057927407096,0.09466857876266456,0.7947753043271044,0.6172632260816672,0.6517374517374517,0.7968979441997064,0.6146309485843875,0.648612616653584,0.8143939393939394,0.5833572453371593,0.6084534731323722,0.78654990085922,0.6532520325203252,0.6899676375404531
1,7,0.10254116213264794,0.09303793155122549,0.8410208744820108,0.6391217107601886,0.6814676576013681,0.8636817448736656,0.6678005740406081,0.7157604300461443,0.8531963761643486,0.5992826398852223,0.6319848720199905,0.8143281365998515,0.6496641922940969,0.6902082524899754
1,8,0.09826742440905042,0.10344121688912208,0.8305444050286284,0.6678272650430139,0.7113480225289348,0.8820367099301128,0.6762694447397328,0.7271300128442986,0.7875596184419714,0.6557030129124821,0.6927033108325298,0.8294605245277891,0.6714033227288795,0.7147242074399853
1,9,0.09598124330280103,0.1077895142074946,0.8032331522502694,0.704600393405326,0.7394335425206269,0.82956428762363,0.7184366252081783,0.7572782667569398,0.7423396774013507,0.655738880918221,0.6841740411381779,0.8329885736800631,0.7389890420643337,0.7744082234417233
